DRT01KPR					172.21.220.38					
DRT02KPR                 172.21.220.39
MSW03KPR               172.21.220.130 
MSW04KPR               172.21.220.131 
EDSW01KPR              172.21.220.108 
EDSW02KPR              172.21.220.109 
DRT01HAM               172.23.220.38
DRT02HAM               172.23.220.39
MSW01HAM             172.23.220.254 
MSW02HAM             172.23.220.253 
EDSW01HAM           172.23.220.111
ASW03KPR                172.21.220.103
ASW04KPR                172.21.220.104
ASW05KPR                172.21.220.105
ASW06KPR                172.21.220.106
MSPL01KPR               172.21.220.202 
BRT01KPR                 172.21.220.36
BRT02KPR                 172.21.220.37
EBSW01KPR              172.21.221.19
BBMC01KPR             172.21.221.22
RRT01KPR                 172.21.221.220
RRT02KPR                 172.21.221.221
TRT02KPR                  172.21.221.223 
BDSWDATA01KPR   172.21.224.165       
BDSWMGMT01KPR 172.21.224.166    
MLS01KPR                 172.21.224.24
ELSW01KPR               172.21.226.110 
SLS03KPR                   172.21.230.123 
CSSW01KPR              172.21.230.15
CSSW02KPR              172.21.230.16
SLS01KPR                   172.21.230.23 
CLS01KPR                  172.21.230.26
PLS01KPR                  172.21.231.23
TRT01KPR                  172.21.221.222 
ASW01HAM              172.23.220.103 
ASW02HAM              172.23.220.104 
BRT01HAM               172.23.220.107
RRT01HAM               172.23.220.220
RRT02HAM               172.23.220.221
TRT01HAM                172.23.220.222 
TRT02HAM                172.23.220.223 
MSPL01HAM            172.23.220.244
MLS01HAM               172.23.224.108 
ELSW01HAM            172.23.226.110
SLS03HAM                 172.23.230.123 
SLS01HAM                 172.23.230.23 
CLS01HAM                172.23.230.26
PLS01HAM                172.23.231.23
EBSW01HAM            172.23.221.19 
BBMC01HAM           172.23.221.22
ASW05HAM              172.23.221.25 
ASW06HAM              172.23.221.26 
CSSW01HAM            172.23.230.15
CSSW02HAM            172.23.230.16
